RegionID,SizeRank,RegionName,RegionType,StateName,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025
102001,0,United States,country,,203575,235664,261534,288423,301614,304530,287369,270583,261434,192249,218636,164838,179399,228615,242981,264157,313139,320295,291934,287558,302489,280945,261587,182174,192976,287089,307259,317181,349970,252597,256527,266804,232858,222408,249926,191522,194110,265415,267039,283396,317496,283299,307222,273866,253007,242685,262071,208973,225497,286606,292800,337001,352131,328954,355076,288848,319120,295927,295637,244412,244915,312677,348796,400920,392675,414770,410965,348621,348862,299180,309639,243044,239490,297631,337870,380786,404629,407608,388959,358934,371994,286699,332552,243502,253838,343490,372502,404508,469605,467199,424665,402920,382179,299399,359892,265165,280271,366365,392253,437940,493034,435386,463037,417835,384186,361634,372301,290636,284512,403704,390230,475382,520000,446087,479781,406949,401565,365117,356326,283215,281557,383188,405082,468014,495369,461584,479789,374751,401912,354565,321392,260480,277793,357046,402941,470730,454281,468494,462216,393253,406610,344877,360387,289437,290863,363187,315779,309742,432588,515878,496978,501118,511804,436414,469158,348316,344783,469991,496555,502276,588482,551309,543191,508911,486485,467675,470317,351272,341282,450035,448177,473924,492411,419877,437025,386184,337061,290457,276479,214429,235689,322336,298660,361424,385305,329775,359302,311957,299905,262233,250507,215056,238666,287911,325232,359497,333927,350867,342820,295574,317315,274172,283345,228852,235767,289559,324220,350804,357806,353185,345094
394913,1,"New York, NY",msa,NY,8563,9079,10073,10484,11372,13963,12652,11004,10818,8218,8862,6382,5736,6707,7223,8132,10049,11796,11882,11298,11749,14207,11754,8599,7090,18559,9947,10099,15938,11537,10521,,8822,8704,9420,8049,7774,9033,8830,9459,11424,10913,11584,10010,8910,8301,9194,8251,7273,8844,8983,10626,12430,12408,13463,10786,10310,9774,11262,10154,8640,9707,10920,13362,13934,16402,16851,14786,14600,12040,13258,10981,8741,10160,10564,12336,14039,15739,15538,13921,14556,11493,13867,10792,9946,11467,11649,12838,16691,18311,17701,16291,15856,13219,15537,12332,12080,13881,13386,14450,18562,17617,20168,17905,15869,15579,17150,15058,12824,15489,14451,17448,20541,18600,21800,17959,17720,16115,16490,14524,12424,14084,14792,16886,19558,19484,21022,15627,17746,15494,15157,13584,11295,13401,14110,16578,17577,18903,19150,16051,16645,14227,15588,14276,11989,12395,9916,10371,12706,15631,18160,19513,21827,19253,22570,19288,16542,20700,18955,18651,23497,22991,23980,20914,21522,19684,21048,18303,15250,18222,16520,18160,21268,19403,20740,16741,14997,14196,13246,11185,9766,12157,10770,13074,15211,13568,15586,12984,12802,11094,10789,10339,8945,10066,11098,12407,12732,14360,14676,12383,12705,11318,12806,11141,9326,10831,11440,12373,13493,14457,14246
753899,2,"Los Angeles, CA",msa,CA,4133,5052,6084,6870,7215,8219,7806,7797,8535,6497,7743,5977,6115,7831,8148,8547,9898,10228,9030,9113,9521,8188,9478,6542,6686,9210,9093,9962,10525,8743,8363,8294,7519,7296,8639,6671,6359,8909,8482,8355,9382,8399,9085,8474,7738,7850,8623,6947,7423,9823,9460,10641,10883,10217,11299,9021,10395,9578,10682,7656,7683,9979,10425,11569,10617,11465,11362,9361,9803,8296,8805,6798,6615,8393,9567,9736,9818,10039,9496,8811,9249,7348,8637,6402,6514,9425,10320,10304,11368,11495,10112,9845,9404,7222,9611,7056,6932,9341,9843,10415,11288,10223,10881,10091,9324,9001,9318,7274,6948,10167,9126,11044,12214,10000,11441,9832,9426,8675,8667,6835,6768,9760,9363,10341,10612,10007,10399,7939,8652,7597,7145,5687,6061,8076,9186,10139,9574,9904,10049,8780,9298,8089,8632,6859,6969,8319,6012,4969,7414,10188,10171,10813,10909,9636,11003,8173,7932,11522,12241,11301,12518,11656,11317,10904,10503,9993,10131,7323,7209,10353,9926,9457,9230,7530,7886,7266,6274,5417,5215,4203,4619,6670,6026,7148,7283,6208,6986,5754,5792,5136,5003,4416,5002,6130,6745,7163,6409,7054,6836,5905,6725,5712,6000,4605,5274,6234,7012,6685,6589,6934,6476
394463,3,"Chicago, IL",msa,IL,5606,6959,7320,7982,8814,8901,8216,7640,6690,4671,4988,3670,3673,4804,5268,6179,8019,8929,8552,8328,8908,8202,7127,4794,4712,6892,8161,8678,10459,6725,6644,6056,5546,5237,5890,4779,4281,6103,6335,7406,8692,7506,8343,7074,6724,6460,7128,5469,5466,7298,7635,9213,10235,9665,10680,8672,9612,8670,8363,7811,7032,9015,10637,12460,12975,14107,13969,11399,12203,9905,10400,8101,7473,9206,11043,12425,14206,14128,13095,12516,12645,9292,10534,7654,7491,10410,11835,13467,16724,16302,14881,13516,12962,9482,10965,8404,8373,10866,12794,14643,17432,15170,15826,13185,12081,10946,11017,8735,7713,12340,12629,15552,17825,14598,15379,12483,11480,10157,9813,7435,6998,10903,12698,15215,16559,14513,14597,11165,11819,10269,8887,6766,7059,9990,12348,14885,15120,15045,14167,11526,11592,9615,10159,7629,7597,10312,10237,9085,11859,15445,15487,15478,17046,14222,14131,11389,10929,14618,16049,16421,19890,19030,18360,15757,14135,13448,12622,9733,8601,12455,12789,13812,14888,12280,12128,10922,9068,8037,7221,5420,5653,8703,8468,10383,11501,9527,10389,8750,8407,7045,7143,5545,5834,7709,9375,10281,9846,10334,9925,8233,8319,7395,7335,5953,5927,7441,8654,9479,10343,10290,9176
394514,4,"Dallas, TX",msa,TX,4984,5692,6110,6821,6793,6698,6414,5612,4772,3549,4147,3051,3732,4668,4766,5362,6026,6331,5528,5215,5470,4891,4364,2933,3589,5360,6279,6486,6019,4484,4598,4126,3924,3735,4030,2896,3129,4729,4932,5460,5923,5329,5841,4773,4222,4131,4367,3355,4011,5270,5616,6737,6917,6593,7035,5317,5554,5007,5068,4203,4731,6752,7390,8395,8092,8569,8412,6685,6294,5260,5617,4178,4942,6295,6977,8103,8571,8476,8169,6973,6918,5253,6263,4220,5000,6779,7100,8229,9265,9294,8836,7751,7007,5669,7119,4932,5886,7554,7812,8508,9270,8615,9272,8098,7220,6818,7051,5087,5764,7954,7793,9452,9888,8899,9310,7735,7322,6965,6951,5277,6099,7679,8006,9468,9459,9190,9071,7070,6960,6207,6241,4530,5832,7444,8177,9323,8440,9229,8835,7225,7250,6095,7011,5218,6054,7336,6298,6350,9364,11229,9885,9432,9271,7816,8532,5681,5861,8112,9102,9499,10617,10327,10383,9684,8980,8554,8734,6222,6408,8278,8398,9149,9202,8265,8605,7372,6238,5149,5034,3765,5215,6715,6372,7774,7770,6796,6998,5749,5304,4678,4760,4231,5221,6235,7056,7813,6595,6962,6602,5620,6100,5237,5489,4288,5051,6253,6715,7223,7068,7121,6609
394692,5,"Houston, TX",msa,TX,4089,4704,4950,5552,5693,5517,5113,3257,3775,2885,3721,2575,3103,3816,3810,4254,5048,5203,4481,4294,4359,4073,3871,2271,2949,4345,4844,5197,5004,3865,3792,3303,3000,2684,3347,2464,2667,3896,4181,4541,5053,4544,4656,3696,3320,3068,3680,2583,3057,4026,4347,5295,5424,5207,4571,3720,4709,4209,4373,3529,3997,5055,5778,6790,6379,6946,6828,5609,5222,4181,4840,3509,3311,3077,3534,4077,4574,7404,6949,6354,6335,4834,5999,3998,4362,5939,6290,6667,7710,7783,7039,6443,5713,4434,5844,4126,4720,6238,6313,7063,7729,6991,7767,6414,5800,5470,6213,4295,5273,6911,6493,7947,8339,7323,6042,6641,6219,5920,6397,4732,5432,6693,6940,8053,8431,7836,8034,6253,6379,5663,5783,3976,5018,6545,7118,8069,7511,8134,7819,6258,6249,5538,6460,4358,5255,6489,5245,5403,7998,9604,8227,8115,8096,6970,8362,5435,5260,8331,8583,8979,10184,9799,9613,8901,8094,7654,8427,5997,6631,8724,8298,8962,8875,7548,7525,6600,5635,4654,4721,3669,4334,6188,5914,7064,7188,,,,,4216,4189,3679,4382,5304,6025,6502,5811,5915,5478,5069,5427,4404,4847,3780,4140,5195,5881,6544,6316,6216,5788
395209,6,"Washington, DC",msa,VA,4119,5003,5723,6210,7152,6712,6397,6447,6155,4736,5621,3972,4381,5749,6167,6585,7839,7370,6732,6441,6505,6203,5713,4640,4325,6484,6995,7445,8617,5837,7174,5649,5274,5135,5517,4281,4296,6168,6069,6484,7679,6342,6297,5441,4946,4901,5219,4108,4440,5482,6077,7352,7702,6740,7002,5461,5765,6222,5555,4743,4670,6012,6999,8442,8911,8294,7949,6436,6569,5373,6136,4299,4504,5528,6566,7538,8459,7807,7293,6346,6571,5200,6453,4594,4711,6402,7399,8167,9931,9174,8036,7306,7049,5894,7367,5038,5410,7022,8154,9592,10796,9132,9242,7731,7500,7286,7355,5999,6023,8420,8690,10359,11357,9276,9176,7693,7870,7110,6696,5491,5372,7339,8349,9812,10485,9175,8760,6603,7416,6948,6456,5338,5356,7329,8673,10282,9848,9453,8764,7381,7908,6582,7115,5619,5717,7658,7288,6954,9078,10192,9977,10085,10352,8955,9285,6758,7325,9610,11266,11591,13285,11810,11222,10050,10012,9844,9150,6332,6625,9223,9628,10238,10075,8172,8053,6985,6179,5251,4981,3713,4573,6057,6063,7460,7654,6121,6397,5270,5136,4645,4249,3689,4342,5218,6420,7245,6747,6754,6301,5408,6263,5168,5460,4270,4426,5284,6624,7103,7376,6789,6287
394974,7,"Philadelphia, PA",msa,PA,4083,4881,5617,5688,6346,6942,6107,6479,5691,3989,4452,3237,3153,3998,4275,4804,6109,6339,6047,5506,5914,6331,4783,3393,3162,4930,5536,6265,7723,4810,4570,4138,3986,3786,4359,3295,3019,4170,4259,4755,5680,4929,5258,4365,4256,4118,4383,3709,3521,4652,4830,5601,6258,5879,6247,4883,5054,5484,5011,4468,3870,4988,5829,6817,7382,7351,7104,5883,5979,5072,5478,4221,3545,4497,5322,6324,7472,7190,6895,6006,6292,5273,6259,4624,4415,5546,6283,7108,9013,9250,8165,7268,7105,5717,6982,5213,5183,6367,7095,8312,10320,8414,8980,7639,7335,7220,7314,6143,5403,7595,7665,9251,10792,9443,9684,8082,7992,7575,7312,5937,4858,6885,7675,8953,10696,9699,9575,7572,8102,7622,7056,5695,5283,7049,7847,9284,9611,9170,8981,7647,7509,6590,7123,5990,5254,6795,5714,4990,6541,9474,9664,9661,10362,8912,9530,7231,6620,8587,9159,9205,11906,10862,11381,10844,9840,9598,12395,9444,7393,9132,8747,8976,10169,8659,9015,7662,6722,6140,5794,4533,4381,6071,5806,6612,7618,6461,7028,6037,5820,5563,5306,4318,4244,5164,5979,6622,6792,7087,7023,6002,6513,5705,5961,4896,4467,5287,6305,6881,7771,7239,6996
394856,8,"Miami, FL",msa,FL,3939,4563,5071,5140,5373,5058,4669,4594,4911,3917,5302,4271,4600,5848,6137,6225,7010,6964,6432,6687,7263,6522,7464,5997,5939,8445,8392,7830,8921,7573,7386,7205,6708,6650,8481,7465,7392,9967,9789,9458,9575,8523,9139,8467,7438,7607,8620,7069,7566,9544,9683,10160,9697,9121,9725,7995,9298,8856,9764,8273,8323,10276,11393,11760,10882,11218,10668,9617,10081,8840,9972,8340,8156,10238,11200,10984,10781,10653,9916,9860,10610,8526,10796,8111,8563,11120,11569,11127,12077,11996,10420,10484,10136,8389,10574,7827,8462,10883,10873,11093,11920,10103,10812,9890,8890,8840,9974,7975,8213,11549,10445,11837,11922,10121,10884,7243,8809,8268,9313,7866,7892,10589,10646,10924,11033,9884,10140,8122,8930,8216,7967,6650,7129,9568,10846,11587,10143,10844,9939,8920,9151,8045,9722,7914,7746,10071,7134,5542,8190,10730,10765,10683,11716,10274,12699,9769,10369,14953,15659,14623,16229,14531,13422,12249,11851,11610,13009,10540,10689,14465,13820,12928,12250,9753,9829,8424,7922,7020,7194,5632,6495,9768,8576,9823,9477,7830,8519,7602,7278,6322,6545,5466,6265,7887,8768,8901,7629,7769,7483,6323,6611,5702,6566,5535,5814,7702,8043,7639,7120,7180,6834
394347,9,"Atlanta, GA",msa,GA,5730,6211,6445,6713,7027,7057,6346,6462,5871,4350,5414,4377,4601,5913,5800,5770,7121,7084,6354,6038,6373,6172,6043,4149,4760,6459,6702,6775,7371,5653,5589,6531,6930,6246,5673,4008,4412,6165,6031,6542,7302,6790,7738,7157,6713,6102,6759,6118,6522,7654,7378,8320,9237,8195,8787,7055,7815,7137,6717,6537,6342,7665,8040,9163,8741,9131,8775,7436,7505,6551,6682,5799,6065,7342,7856,8949,9207,9012,8584,7887,8007,6253,7216,5729,6060,8394,9007,9435,10329,10243,9469,8726,7880,6425,8132,6136,7053,9413,9859,10947,11768,10498,10895,9634,8834,8281,8873,6412,7129,10709,9665,11979,12581,10784,11389,9479,9335,8907,8778,6721,7741,10375,10692,12276,12267,11556,12397,9340,9928,8949,8148,6502,7773,10366,10871,12375,11595,11846,11466,9680,10091,8531,9323,7247,8288,9665,7883,7662,11098,12196,11785,11621,11990,9964,11361,8100,8954,12618,13008,13022,15022,14394,13613,11779,10882,12139,11401,8857,9961,12859,12151,12623,12544,10511,10396,9102,7812,6357,6444,4748,5906,8238,7435,8581,8575,7279,8076,6945,6519,5744,5868,4961,5912,7173,7809,8455,7218,7997,7332,6323,6787,5833,6503,5019,5773,7047,8040,8172,8163,7588,6847
394404,10,"Boston, MA",msa,MA,2040,2357,2869,3468,4493,4119,3950,3146,3174,2266,2471,1708,1639,2271,2416,2997,4126,4523,4293,3402,3636,3676,3076,2019,1934,2946,3641,3982,5339,3243,3497,2858,2597,2621,3137,2135,1836,2775,3032,3662,4982,4092,4499,3443,3058,3155,3307,2308,2280,3204,3592,4528,5753,5254,5799,3690,4104,4400,4202,2919,2414,3284,4070,5542,6534,6905,6565,4893,4662,4101,4298,2881,2236,3111,3852,5103,6623,6530,6111,4827,4828,3859,4493,2924,2372,3099,3612,4955,7543,7748,6824,5659,5229,4282,5118,3558,2829,3795,4390,5651,7827,6262,7208,5716,5073,4944,4926,3751,2737,4174,4107,5870,7962,6589,7019,5389,5263,5116,4581,3478,2574,3703,4303,5607,7719,6816,7185,4862,5048,5160,4085,3154,2767,3725,4305,5783,6652,6585,6576,4858,5079,4608,4804,3362,2601,3621,3700,3656,5041,6679,6862,6265,6368,5458,5974,3841,3000,4407,5227,5892,7918,7117,6989,6149,5317,5761,5583,3605,2790,4010,4482,5629,7381,5848,5931,4914,3992,3804,3736,2361,2050,3022,3038,3984,5303,4199,4342,3521,3543,3453,3074,2297,2125,2809,3492,4403,5011,4985,4652,3722,4223,3786,3783,2708,2320,2834,3677,4683,5377,5272,5100
394976,11,"Phoenix, AZ",msa,AZ,3588,4373,5060,5595,5601,6107,5396,5880,5373,4234,5446,4967,5804,7632,8201,8923,9404,8886,7519,7634,7943,7155,7478,5814,6508,8820,9077,8571,9027,6852,6884,6621,6445,6490,8286,6757,7258,9751,9439,9661,10348,8429,8807,7919,7586,7242,7856,6703,7592,9073,8696,8797,8600,7652,8012,6849,7564,7164,7328,6393,7053,8650,9284,9836,8541,8588,7668,6795,6677,5626,6455,5271,5934,7163,8087,8085,7827,7143,6753,6585,6470,5266,6706,5172,6138,8345,8833,8588,9131,8508,7496,7443,6822,5707,7189,5617,6264,8912,8904,9301,9388,8179,8349,7850,7498,7254,7425,6608,6905,9946,9113,10327,10136,8433,8854,7985,7887,7619,7456,6655,7496,10097,9605,10444,9718,9005,8823,7428,7956,7172,6826,6056,7084,8888,10035,10752,9714,9561,9195,8440,8339,7383,7810,6904,7712,9152,7200,6842,9419,10159,9120,9751,10366,9428,10177,7666,8371,11165,11406,10639,11354,10224,10292,10335,9762,9868,9630,7753,8646,10812,10099,9627,8886,6589,6334,6105,5091,4572,4619,4028,5338,6962,6138,7294,6658,5351,5540,4747,4536,4082,3995,4065,5184,6039,6553,7008,5646,5527,5065,4708,5278,4598,4879,4353,5379,6390,6691,6317,5862,5427,5104
395057,12,"San Francisco, CA",msa,CA,1910,2511,3078,3393,3541,3949,3932,3724,4049,2970,3504,2649,2710,3314,3545,3827,4368,4493,3902,3952,4120,3584,3894,2662,2651,3801,3952,4479,4471,3671,3499,3483,3355,3266,3802,2745,2760,3957,3764,3961,4561,3951,4159,3817,3557,3690,3903,2964,3253,4333,4325,4833,4867,4553,4700,3802,4361,4061,3982,2881,3015,4084,4381,4861,4651,4959,4769,3947,4364,3809,3576,2638,2704,3564,4274,4559,4490,4742,4345,3924,4386,3325,3449,2325,2546,3713,4379,4511,5082,4972,4339,4124,4100,3380,3997,2438,2422,3580,4012,4266,4791,4162,4333,4048,3869,3854,3475,2463,2393,3869,3772,4561,5060,4208,4531,3776,4256,3901,3370,2346,2530,3891,4062,4672,4780,4290,4174,3240,3995,3385,2741,2080,2422,3442,4060,4772,4144,4124,3988,3313,4159,3319,3278,2290,2546,3301,2370,2193,3638,4597,4499,4698,4769,4658,4725,3188,3298,4981,5743,5416,6000,5381,5164,4924,4917,4860,4133,2635,2906,4747,4653,4790,4133,3333,3551,3408,3032,2611,2297,1528,1890,2857,2669,3465,3231,2779,2914,2644,2802,2308,2118,1613,2149,2597,3259,3503,3128,3170,3034,2780,3330,2745,2453,1724,2260,3035,3234,3272,3272,3105,2859
395025,13,"Riverside, CA",msa,CA,2586,3383,3888,4717,4960,5602,5437,6084,6398,5158,6323,5336,5362,6625,7020,6879,7545,7435,6548,6613,6684,5656,6577,5096,4997,6530,6591,6359,7013,5835,5615,5422,5255,5107,5908,4729,4727,6182,5765,5739,6217,5445,5986,5368,5101,5042,5619,4682,4969,6136,5569,6549,6223,5542,7026,4745,5645,5217,5348,4803,4712,5573,6057,6336,5699,6070,6133,5223,5398,4635,4877,4300,4089,4882,5514,5446,5433,5498,5052,4965,5249,4053,4935,3922,3842,5338,5932,5720,6227,6325,5508,5404,5170,4225,5279,4035,4229,5671,5640,6044,6594,5870,6172,5895,5461,5345,5503,4628,4340,6239,5795,6652,7151,6023,6701,5747,5736,5222,5213,4513,4328,5831,5898,6346,6270,5982,6146,4965,5497,4764,4309,3856,3933,5199,5841,6425,5829,6355,6134,5421,5838,4742,4971,4390,4321,5409,4072,3610,5352,6807,6636,6775,6950,6177,6950,5255,5155,7068,7077,6427,7481,6976,6803,6604,6549,6437,6508,5135,4981,6721,6221,5883,5667,4462,4710,4260,3769,3238,3218,2909,3180,4257,3899,4698,4513,3770,3986,3498,3373,2904,2979,2746,3148,3522,3931,4099,3564,3919,3800,3292,3577,3055,3324,2923,3106,3741,4025,3917,3698,3909,3536
394532,14,"Detroit, MI",msa,MI,4472,4770,5358,5561,5669,5563,5717,5981,6030,4793,4722,4399,4362,5582,5992,5567,6337,6264,5844,5978,6269,5634,5285,4192,4668,6005,5926,5684,6625,4870,5247,5262,5097,4668,4782,4264,4383,5855,5646,5527,6094,5841,6327,5753,5394,5130,4948,4652,4980,5788,5551,6304,6670,6323,7160,6186,7093,6226,5520,5606,5063,6101,6173,7145,7079,7432,7621,7361,6992,5605,5434,4785,4389,5074,5473,6249,6682,6954,6748,6645,7027,5339,5521,4672,4334,5467,5808,6178,7517,7468,7006,7228,6890,5093,5771,4904,4726,5924,6148,6868,7958,7131,7927,7142,6615,6257,5995,5267,4732,6366,5843,7321,8354,7298,8431,7188,7239,6475,5583,4956,4403,5648,6125,7418,7775,7797,8286,6883,7027,5922,5223,4636,4509,5462,6190,7344,7245,7463,7647,6659,7022,5834,5359,5010,4748,5274,3560,3088,,8428,8538,8315,8412,7085,7364,6159,5625,6700,6845,7235,8786,7865,8319,7968,7684,7159,6733,5768,5328,6295,6538,7002,7762,6739,7178,6589,5857,4928,4521,3844,3894,5146,4537,5764,6305,5494,6063,5566,5205,4630,4097,3879,3847,4534,5164,5766,5602,5838,5730,5255,5689,4683,4471,3962,3947,4313,5099,5838,6012,5875,5909
395078,15,"Seattle, WA",msa,WA,2604,3031,3175,3309,3438,3153,2977,2992,2582,1664,1893,1364,1579,2067,2252,2555,3442,3547,3192,3288,3532,3296,2855,1930,2193,3426,3735,3688,3787,2697,2776,2656,2519,2466,3006,2099,2161,3312,3227,3427,3962,3489,3859,3453,3230,3151,3296,2401,2743,3553,3748,4299,4510,4359,4670,3755,4217,3936,3901,2848,2982,4192,4741,5459,5409,5881,5667,4730,4748,3870,4003,2940,3174,4054,4835,5305,5643,5778,5379,4993,5158,3910,4334,3024,3330,4950,5797,6081,6912,6942,6075,5844,5419,4205,5064,3252,3666,5365,5784,6505,7371,6774,7034,6335,5883,5471,5073,4023,3842,5360,5257,6904,7680,6904,7407,6364,6206,5487,4809,3465,3872,5093,5682,6608,7012,6504,6186,4846,5175,4480,3981,3052,3587,4307,5435,6229,6283,6487,6072,5040,5375,4446,4470,3137,3495,4519,4017,4062,5740,6626,6520,6825,6976,5573,5570,3621,3999,5736,6756,6804,8144,7620,7339,7151,6462,5901,5021,3079,3620,5674,6151,6343,6238,4778,5041,4659,3863,3085,2581,1935,2586,3513,3400,3937,4214,3774,3934,3388,3221,2534,2208,2054,2557,3273,3867,4347,3953,4259,4010,3480,4157,3275,2928,2246,2787,3602,4032,4109,4347,4291,3932
