STATION,DATE,PRCP,TAVG,TMAX,TMIN
USW00012918,8/1/1930,3,,99,75
USW00012918,8/2/1930,0.09,,97,79
USW00012918,8/3/1930,,,95,78
USW00012918,8/4/1930,0.02,,95,79
USW00012918,8/5/1930,0.12,,92,76
USW00012918,8/6/1930,,,92,74
USW00012918,8/7/1930,,,96,71
USW00012918,8/8/1930,,,97,71
USW00012918,8/9/1930,0,,94,75
USW00012918,8/10/1930,0,,92,72
USW00012918,8/11/1930,0,,99,70
USW00012918,8/12/1930,,,99,71
USW00012918,8/13/1930,,,98,78
USW00012918,8/14/1930,,,98,72
USW00012918,8/15/1930,,,98,73
USW00012918,8/16/1930,,,97,70
USW00012918,8/17/1930,,,98,71
USW00012918,8/18/1930,,,98,72
USW00012918,8/19/1930,,,101,74
USW00012918,8/20/1930,0.03,,101,74
USW00012918,8/21/1930,,,96,76
USW00012918,8/22/1930,,,96,72
USW00012918,8/23/1930,,,93,71
USW00012918,8/24/1930,,,94,73
USW00012918,8/25/1930,0.07,,83,72
USW00012918,8/26/1930,,,92,68
USW00012918,8/27/1930,,,95,65
USW00012918,8/28/1930,,,96,65
USW00012918,8/29/1930,1.62,,89,70
USW00012918,8/30/1930,0.15,,95,73
USW00012918,8/31/1930,0.53,,92,70
USW00012918,9/1/1930,,,92,73
USW00012918,9/2/1930,,,94,70
USW00012918,9/3/1930,0.12,,92,73
USW00012918,9/4/1930,0,,93,70
USW00012918,9/5/1930,,,92,69
USW00012918,9/6/1930,0,,93,71
USW00012918,9/7/1930,0.52,,94,71
USW00012918,9/8/1930,0,,96,72
USW00012918,9/9/1930,,,91,71
USW00012918,9/10/1930,0.07,,94,71
USW00012918,9/11/1930,0,,100,74
USW00012918,9/12/1930,,,97,73
USW00012918,9/13/1930,,,96,73
USW00012918,9/14/1930,,,95,73
USW00012918,9/15/1930,0.11,,89,73
USW00012918,9/16/1930,,,85,65
USW00012918,9/17/1930,,,85,64
USW00012918,9/18/1930,,,91,60
USW00012918,9/19/1930,,,88,61
USW00012918,9/20/1930,,,92,72
USW00012918,9/21/1930,,,92,69
USW00012918,9/22/1930,0.23,,86,70
USW00012918,9/23/1930,0.63,,82,70
USW00012918,9/24/1930,0.29,,87,73
USW00012918,9/25/1930,0,,90,72
USW00012918,9/26/1930,0.65,,80,67
USW00012918,9/27/1930,,,78,57
USW00012918,9/28/1930,0,,83,60
USW00012918,9/29/1930,,,84,64
USW00012918,9/30/1930,,,83,64
USW00012918,10/1/1930,,,83,65
USW00012918,10/2/1930,,,83,59
USW00012918,10/3/1930,,,82,61
USW00012918,10/4/1930,0.04,,76,71
USW00012918,10/5/1930,0.23,,80,68
USW00012918,10/6/1930,0.54,,85,73
USW00012918,10/7/1930,2.75,,79,67
USW00012918,10/8/1930,,,89,60
USW00012918,10/9/1930,,,87,63
USW00012918,10/10/1930,0,,85,72
USW00012918,10/11/1930,,,85,71
USW00012918,10/12/1930,0.05,,82,73
USW00012918,10/13/1930,,,81,67
USW00012918,10/14/1930,,,80,59
USW00012918,10/15/1930,,,82,61
USW00012918,10/16/1930,,,87,63
USW00012918,10/17/1930,,,79,56
USW00012918,10/18/1930,,,74,56
USW00012918,10/19/1930,0,,73,51
USW00012918,10/20/1930,,,77,55
USW00012918,10/21/1930,,,79,55
USW00012918,10/22/1930,,,78,57
USW00012918,10/23/1930,0.1,,75,66
USW00012918,10/24/1930,0,,68,58
USW00012918,10/25/1930,,,69,43
USW00012918,10/26/1930,,,80,51
USW00012918,10/27/1930,1.39,,72,68
USW00012918,10/28/1930,0.02,,73,63
USW00012918,10/29/1930,0.01,,66,57
USW00012918,10/30/1930,,,73,42
USW00012918,10/31/1930,,,63,43
USW00012918,11/1/1930,,,62,40
USW00012918,11/2/1930,,,72,48
USW00012918,11/3/1930,,,74,52
USW00012918,11/4/1930,,,74,49
USW00012918,11/5/1930,,,73,49
USW00012918,11/6/1930,,,69,49
USW00012918,11/7/1930,,,68,45
USW00012918,11/8/1930,0.05,,67,47
USW00012918,11/9/1930,0.13,,60,55
USW00012918,11/10/1930,0.07,,62,57
USW00012918,11/11/1930,0.2,,63,59
USW00012918,11/12/1930,0.3,,64,60
USW00012918,11/13/1930,0.14,,63,61
USW00012918,11/14/1930,,,78,64
USW00012918,11/15/1930,0.1,,81,62
USW00012918,11/16/1930,0.07,,79,55
USW00012918,11/17/1930,,,83,54
USW00012918,11/18/1930,,,81,61
USW00012918,11/19/1930,0.02,,79,73
USW00012918,11/20/1930,0.26,,75,50
USW00012918,11/21/1930,0,,62,55
USW00012918,11/22/1930,0.01,,57,47
USW00012918,11/23/1930,0.06,,60,46
USW00012918,11/24/1930,0.05,,54,43
USW00012918,11/25/1930,,,57,32
USW00012918,11/26/1930,,,60,46
USW00012918,11/27/1930,,,67,35
USW00012918,11/28/1930,0,,70,46
USW00012918,11/29/1930,0.47,,71,61
USW00012918,11/30/1930,0.6,,70,52
USW00012918,12/1/1930,,,63,41
USW00012918,12/2/1930,,,62,45
USW00012918,12/3/1930,,,68,50
USW00012918,12/4/1930,0.02,,72,60
USW00012918,12/5/1930,2.55,,68,49
USW00012918,12/6/1930,0.03,,51,42
USW00012918,12/7/1930,,,51,43
USW00012918,12/8/1930,,,60,37
USW00012918,12/9/1930,,,66,42
USW00012918,12/10/1930,0.04,,67,52
USW00012918,12/11/1930,,,69,55
USW00012918,12/12/1930,,,64,54
USW00012918,12/13/1930,,,68,49
USW00012918,12/14/1930,,,70,40
USW00012918,12/15/1930,,,58,44
USW00012918,12/16/1930,,,44,41
USW00012918,12/17/1930,,,50,33
USW00012918,12/18/1930,0.41,,59,46
USW00012918,12/19/1930,,,59,37
USW00012918,12/20/1930,,,57,38
USW00012918,12/21/1930,0.08,,50,43
