STATION,DATE,AWND,PRCP,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21
USW00012918,6/1/2000,5.59,0,91,74,,,,,,,,,,,,,,,,,,
USW00012918,6/2/2000,6.04,0,92,72,,,,,,,,,,,,,,,1,,,
USW00012918,6/3/2000,5.37,0,90,74,,,,,,,,,,,,,,,,,,
USW00012918,6/4/2000,8.72,0.06,91,75,,,,,,,,,,,,,,,1,,,
USW00012918,6/5/2000,7.16,0.78,81,71,1,,,,,,,,,,,1,,,1,,,
USW00012918,6/6/2000,9.4,0,86,72,1,,,,,,,,,,,1,,,,,,
USW00012918,6/7/2000,7.61,0,85,66,,,,,,,,,,,,,,,,,,
USW00012918,6/8/2000,8.95,0,84,75,1,,,,,,,,,,,1,,,1,,,
USW00012918,6/9/2000,8.05,0.2,88,73,1,,1,,,,,,,,,1,,,1,,,
USW00012918,6/10/2000,9.4,0.08,88,76,,,,,,,,,,,,,,,1,,,
USW00012918,6/11/2000,8.72,0,89,77,,,,,,,,,,,,,,,1,,,
USW00012918,6/12/2000,6.93,0.02,89,75,,,,,,,,,,,,,,,1,,,
USW00012918,6/13/2000,6.71,0.22,90,73,1,,,,,,,,,,,1,,,1,,,
USW00012918,6/14/2000,9.4,0,90,75,,,,,,,,,,,,,,,,,,
USW00012918,6/15/2000,8.95,0,92,73,,,,,,,,,,,,,,,,,,
USW00012918,6/16/2000,10.29,0,90,75,,,,,,,,,,,,,,,1,,,
USW00012918,6/17/2000,8.28,0.1,89,77,1,,,,,,,,,,,1,,,1,,,
USW00012918,6/18/2000,5.37,0.13,89,73,,,1,,,,,,,,,,,,1,,,
USW00012918,6/19/2000,8.05,0.37,89,77,1,,1,,,,,,,,,1,,,1,,,
USW00012918,6/20/2000,9.62,0,92,77,,,,,,,,,,,,,,,1,,,
USW00012918,6/21/2000,8.95,0,93,77,,,,,,,,,,,,,,,,,,
USW00012918,6/22/2000,8.72,0,94,74,,,,,,,,,,,,,,,,,,
USW00012918,6/23/2000,7.61,0,95,75,,,,,,,,,,,,,,,,,,
USW00012918,6/24/2000,8.05,0,94,74,,,,,,,,,,,,,,,,,,
USW00012918,6/25/2000,8.28,0,93,75,,,,,,,,,,,,,,,,,,
USW00012918,6/26/2000,5.37,0.44,93,74,1,,1,,,,,,,,,1,,,1,,,
USW00012918,6/27/2000,5.37,0,91,74,,,,,,,,,,,,,,,,,,
USW00012918,6/28/2000,6.26,0,93,75,,,1,,,,,,,,,,,,,,,
USW00012918,6/29/2000,6.04,0,93,75,,,,,,,,,,,,,,,,,,
USW00012918,6/30/2000,6.93,0,93,75,,,,,,,,,,,,,,,,,,
USW00012918,7/1/2000,7.61,0,92,75,,,1,,,,,,,,,,,,,,,
USW00012918,7/2/2000,7.83,0,94,76,,,,,,,,,,,,,,,1,,,
USW00012918,7/3/2000,7.83,0,93,76,,,,,,,,,,,,,,,,,,
USW00012918,7/4/2000,6.04,0.02,92,73,,,,,,,,,,,,,,,1,,,
USW00012918,7/5/2000,3.58,0,93,72,,,,,,,,,,,,,,,,,,
