STATION,DATE,AWND,PRCP,TMAX,TMIN,WDF5,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21
USW00012918,9/1/1998,10.07,0,92,75,40,25.1,,,,,,,,,,,,,,,,,,
USW00012918,9/2/1998,8.5,0,94,75,20,21,,,,,,,,,,,,,,,,,,
USW00012918,9/3/1998,4.92,0,96,78,280,13,,,,,,,,,,,,,,,,,,
USW00012918,9/4/1998,4.7,0,95,75,120,16.1,,,,,,,,,,,,,,,,,,
USW00012918,9/5/1998,6.04,0,93,73,120,34,,,,,,,,,,,,,,,,,,
USW00012918,9/6/1998,6.49,0.11,87,75,100,23.9,,,,,,,,,,,,,,,,,,
USW00012918,9/7/1998,9.62,0.07,89,73,70,25.1,,,,,,,,,,,,,,,,,,
USW00012918,9/8/1998,11.18,0,91,76,100,25.1,,,,,,,,,,,,,,,,,,
USW00012918,9/9/1998,16.11,0.21,91,76,50,36,,,,,,,,,,,,,,,,,,
USW00012918,9/10/1998,23.26,3.41,77,73,60,46.1,,,,,,,,,,,,,,,,,,
USW00012918,9/11/1998,15.21,5.87,86,75,60,40.9,,,,,,,,,,,,,,,,,,
USW00012918,9/12/1998,12.53,0.47,84,76,200,30,,,,,,,,,,,,,,,,,,
USW00012918,9/13/1998,6.71,0.02,87,75,130,14.1,,,,,,,,,,,,,,,,,,
USW00012918,9/14/1998,4.7,0.02,90,78,110,17.9,,,,,,,,,,,,,,,,,,
USW00012918,9/15/1998,6.71,0.61,82,77,110,21,,,,,,,,,,,,,,,,,,
USW00012918,9/16/1998,9.4,0.29,83,76,100,21,,,,,,,,,,,,,,,,,,
USW00012918,9/17/1998,9.84,0,90,73,40,21.9,,,,,,,,,,,,,,,,,,
USW00012918,9/18/1998,9.4,0,92,76,30,21.9,,,,,,,,,,,,,,,,,,
USW00012918,9/19/1998,3.58,0,89,76,70,11,,,,,,,,,,,,,,,,,,
USW00012918,9/20/1998,3.8,0,90,76,160,17,,,,,,,,,,,,,,,,,,
USW00012918,9/21/1998,4.7,0,91,77,150,16.1,,,,,,,,,,,,,,,,,,
USW00012918,9/22/1998,3.58,0,92,77,190,14.1,,,,,,,,,,,,,,,,,,
USW00012918,9/23/1998,6.26,0,93,77,50,16.1,,,,,,,,,,,,,,,,,,
USW00012918,9/24/1998,5.37,0,92,76,130,16.1,,,,,,,,,,,,,,,,,,
USW00012918,9/25/1998,7.16,0,90,76,120,21,,,,,,,,,,,,,,,,,,
USW00012918,9/26/1998,5.14,0.24,88,77,130,21,,,,,,,,,,,,,,,,,,
USW00012918,9/27/1998,5.37,0.01,93,76,360,19.9,,,,,,,,,,,,,,,,,,
USW00012918,9/28/1998,6.93,0,96,76,340,19.9,,,,,,,,,,,,,,,,,,
USW00012918,9/29/1998,4.47,0,95,77,20,17,,,,,,,,,,,,,,,,,,
USW00012918,9/30/1998,2.91,0,94,74,240,13,,,,,,,,,,,,,,,,,,
USW00012918,10/1/1998,5.14,0,93,74,160,16.1,,,,,,,,,,,,,,,,,,
USW00012918,10/2/1998,8.5,0,91,73,140,21,,,,,,,,,,,,,,,,,,
USW00012918,10/3/1998,6.71,0.05,92,74,150,23,,,,,,,,,,,,,,,,,,
USW00012918,10/4/1998,9.4,2.49,87,74,150,29.1,,,,,,,,,,,,,,,,,,
USW00012918,10/5/1998,12.53,0.07,90,75,170,30,,,,,,,,,,,,,,,,,,
USW00012918,10/6/1998,11.18,2.37,82,66,310,51.9,,,,,,,,,,,,,,,,,,
USW00012918,10/7/1998,9.62,0,79,61,20,25.1,,,,,,,,,,,,,,,,,,
USW00012918,10/8/1998,4.92,0,81,58,340,17.9,,,,,,,,,,,,,,,,,,
USW00012918,10/9/1998,4.92,0,78,59,60,14.1,,,,,,,,,,,,,,,,,,
USW00012918,10/10/1998,3.8,0,78,60,70,14.1,,,,,,,,,,,,,,,,,,
USW00012918,10/11/1998,7.61,0.02,84,64,100,16.1,,,,,,,,,,,,,,,,,,
USW00012918,10/12/1998,5.59,0,85,70,100,15,,,,,,,,,,,,,,,,,,
USW00012918,10/13/1998,3.8,0,83,66,30,15,,,,,,,,,,,,,,,,,,
USW00012918,10/14/1998,3.8,0,83,63,120,13,,,,,,,,,,,,,,,,,,
USW00012918,10/15/1998,6.71,0,87,67,100,19.9,,,,,,,,,,,,,,,,,,
USW00012918,10/16/1998,9.4,0.05,,,160,28,,,,,,,,,,,,,,,,,,
USW00012918,10/17/1998,11.86,0.03,86,77,150,29.1,,,,,,,,,,,,,,,,,,
USW00012918,10/18/1998,9.62,2.9,80,69,350,28,,,,,,,,,,,,,,,,,,
