height	weight
177.83	88.37
176.29	88.04
181.30	90.91
180.22	90.01
176.49	88.38
175.17	87.64
180.57	91.07
178.89	88.87
174.30	86.70
167.27	83.58
180.96	90.11
172.04	86.17
174.43	86.48
174.23	86.76
177.50	89.20
164.99	81.94
176.94	88.43
177.55	88.87
174.22	86.96
171.12	85.38
184.63	91.89
171.14	85.89
185.75	93.10
170.22	85.07
170.86	85.19
176.19	87.89
177.71	88.98
171.31	85.48
176.59	88.51
181.00	90.95
175.00	87.79
175.44	88.20
183.24	91.51
175.70	87.63
181.90	90.27
175.76	87.42
174.61	87.29
179.37	89.45
183.63	91.80
167.25	84.16
174.52	88.11
177.28	89.07
185.09	93.04
174.65	87.88
171.08	84.57
168.27	83.73
168.71	83.86
166.40	83.80
170.87	85.56
166.25	82.90
