call_period	dropped_calls	call_sample_size
1	26	250
1	29	250
1	45	250
1	22	250
1	38	250
1	40	250
1	39	250
1	35	250
1	33	250
1	34	250
1	36	250
1	42	250
1	31	250
1	40	250
1	42	250
1	31	250
1	22	250
1	36	250
1	38	250
1	43	250
1	37	250
1	36	250
1	38	250
1	35	250
1	50	250
1	44	250
1	31	250
1	43	250
1	33	250
1	30	250
1	34	250
1	31	250
1	37	250
1	34	250
1	31	250
1	29	250
1	30	250
1	39	250
1	32	250
1	33	250
2	48	250
2	65	250
2	42	250
2	55	250
2	59	250
2	58	250
2	63	250
2	59	250
2	48	250
2	40	250
2	52	250
2	41	250
2	56	250
2	51	250
2	65	250
2	54	250
2	53	250
2	48	250
2	67	250
2	54	250
2	65	250
2	56	250
2	54	250
2	51	250
2	61	250
2	62	250
2	57	250
2	48	250
2	64	250
2	63	250
