Part	Operator	Repetition	Value
1	1	1	14.1417
2	1	1	14.5305
3	1	1	13.9807
4	1	1	13.9427
5	1	1	15.8016
6	1	1	15.4812
7	1	1	14.8902
8	1	1	14.3848
9	1	1	14.3909
10	1	1	14.1222
11	1	1	14.2084
12	1	1	14.0494
13	1	1	14.0758
14	1	1	14.2376
15	1	1	14.1906
16	1	1	14.3417
17	1	1	14.2166
18	1	1	14.5826
19	1	1	13.6363
20	1	1	14.2155
21	1	1	14.9101
22	1	1	14.2425
23	1	1	14.9633
24	1	1	13.409
25	1	1	13.8381
1	1	2	14.7528
2	1	2	14.133
3	1	2	13.885
4	1	2	14.3023
5	1	2	13.8195
6	1	2	14.7703
7	1	2	14.4004
8	1	2	14.2019
9	1	2	14.2196
10	1	2	13.5436
11	1	2	14.6862
12	1	2	13.634
13	1	2	13.8297
14	1	2	14.0023
15	1	2	14.9433
16	1	2	14.9637
17	1	2	14.386
18	1	2	13.1324
19	1	2	14.2266
20	1	2	13.6185
21	1	2	13.4352
22	1	2	14.4977
23	1	2	13.2938
24	1	2	14.4537
25	1	2	13.8399
1	1	3	14.2279
2	1	3	14.9318
3	1	3	14.745
4	1	3	14.222
5	1	3	13.8425
6	1	3	14.2933
7	1	3	14.7225
8	1	3	13.9853
9	1	3	13.9598
10	1	3	14.2008
11	1	3	14.8919
12	1	3	14.3227
13	1	3	14.9851
14	1	3	14.224
15	1	3	14.6565
16	1	3	15.3446
17	1	3	14.3801
18	1	3	14.0984
19	1	3	14.3619
20	1	3	15.1207
21	1	3	14.2198
22	1	3	13.6834
23	1	3	13.4274
24	1	3	13.5
25	1	3	14.3295
1	1	4	14.3775
2	1	4	13.9208
3	1	4	14.2269
4	1	4	14.7754
5	1	4	14.7274
6	1	4	14.1986
7	1	4	13.6055
8	1	4	14.1193
9	1	4	14.499
10	1	4	13.9747
11	1	4	14.2414
12	1	4	14.5147
13	1	4	14.6428
14	1	4	14.5363
15	1	4	14.2231
16	1	4	14.0802
17	1	4	14.9895
18	1	4	14.1706
19	1	4	14.2159
20	1	4	14.6741
21	1	4	14.0177
22	1	4	14.6577
23	1	4	14.2504
24	1	4	13.7582
25	1	4	14.634
1	1	5	14.1622
2	1	5	14.4161
3	1	5	14.6196
4	1	5	14.4026
5	1	5	13.5171
6	1	5	15.5613
7	1	5	13.9048
8	1	5	14.6171
9	1	5	14.1836
10	1	5	14.4441
11	1	5	13.3357
12	1	5	15.1725
13	1	5	13.9627
14	1	5	13.783
15	1	5	14.3193
16	1	5	14.518
17	1	5	14.4011
18	1	5	14.0786
19	1	5	14.1766
20	1	5	14.4817
21	1	5	14.8882
22	1	5	14.6287
23	1	5	13.9207
24	1	5	14.3075
25	1	5	14.5144
1	1	6	14.3661
2	1	6	13.2945
3	1	6	15.3677
4	1	6	13.911
5	1	6	14.73
6	1	6	14.3588
7	1	6	14.454
8	1	6	13.5179
9	1	6	15.5041
10	1	6	14.3605
11	1	6	13.5032
12	1	6	14.6118
13	1	6	14.8799
14	1	6	14.5982
15	1	6	14.7745
16	1	6	13.7417
17	1	6	14.6042
18	1	6	13.7484
19	1	6	14.6743
20	1	6	13.2359
21	1	6	14.0129
22	1	6	13.3003
23	1	6	13.8725
24	1	6	14.303
25	1	6	14.451
1	1	7	13.8223
2	1	7	13.2646
3	1	7	14.1568
4	1	7	13.8288
5	1	7	14.4166
6	1	7	14.8358
7	1	7	15.2249
8	1	7	14.4848
9	1	7	14.3468
10	1	7	14.3991
11	1	7	14.6407
12	1	7	14.5789
13	1	7	13.995
14	1	7	13.6092
15	1	7	14.577
16	1	7	14.6511
17	1	7	13.4481
18	1	7	14.073
19	1	7	14.1053
20	1	7	15.0145
21	1	7	13.5763
22	1	7	14.7085
23	1	7	14.4586
24	1	7	14.4158
25	1	7	13.7163
1	1	8	14.7846
2	1	8	14.2773
3	1	8	14.4898
4	1	8	13.9048
5	1	8	14.51
6	1	8	14.8768
7	1	8	14.2974
8	1	8	14.0978
9	1	8	13.5417
10	1	8	13.7348
11	1	8	14.5493
12	1	8	13.9565
13	1	8	13.8278
14	1	8	13.8466
15	1	8	13.8726
16	1	8	14.0212
17	1	8	14.4303
18	1	8	14.1777
19	1	8	13.5104
20	1	8	13.3808
21	1	8	13.9154
22	1	8	13.9024
23	1	8	15.0564
24	1	8	14.1324
25	1	8	13.9582
1	2	1	14.1438
2	2	1	14.1054
3	2	1	14.1009
4	2	1	14.4038
5	2	1	14.5332
6	2	1	13.9872
7	2	1	14.5659
8	2	1	14.2889
9	2	1	13.8505
10	2	1	14.6496
11	2	1	14.5729
12	2	1	14.7559
13	2	1	14.6291
14	2	1	13.8872
15	2	1	14.3804
16	2	1	14.496
17	2	1	14.3418
18	2	1	14.2768
19	2	1	14.0866
20	2	1	13.8113
21	2	1	14.3499
22	2	1	13.9251
23	2	1	14.6603
24	2	1	13.9638
25	2	1	13.9076
1	2	2	14.4398
2	2	2	14.1185
3	2	2	14.3752
4	2	2	14.2923
5	2	2	14.0892
6	2	2	13.9641
7	2	2	14.2573
8	2	2	14.2262
9	2	2	14.5416
10	2	2	14.5405
11	2	2	13.893
12	2	2	14.2422
13	2	2	14.7081
14	2	2	13.9424
15	2	2	13.7703
16	2	2	14.3802
17	2	2	14.4639
18	2	2	13.7903
19	2	2	14.3287
20	2	2	14.7917
21	2	2	14.61
22	2	2	13.9844
23	2	2	14.0699
24	2	2	14.4181
25	2	2	14.4261
1	2	3	14.48
2	2	3	14.5268
3	2	3	14.2096
4	2	3	14.0312
5	2	3	14.1239
6	2	3	14.7038
7	2	3	14.128
8	2	3	13.9505
9	2	3	14.5842
10	2	3	13.4689
11	2	3	14.1598
12	2	3	14.4048
13	2	3	13.8868
14	2	3	14.289
15	2	3	14.1388
16	2	3	14.2164
17	2	3	13.9411
18	2	3	13.9763
19	2	3	14.1194
20	2	3	14.3259
21	2	3	13.9029
22	2	3	14.4391
23	2	3	14.616
24	2	3	14.2904
25	2	3	14.6797
1	2	4	14.6558
2	2	4	14.471
3	2	4	14.63
4	2	4	14.6777
5	2	4	14.2882
6	2	4	14.1803
7	2	4	14.4738
8	2	4	14.1828
9	2	4	14.4154
10	2	4	14.1394
11	2	4	14.3565
12	2	4	14.0516
13	2	4	13.9925
14	2	4	14.2054
15	2	4	13.8112
16	2	4	13.9915
17	2	4	14.2969
18	2	4	14.7351
19	2	4	14.1086
20	2	4	14.2402
21	2	4	14.2585
22	2	4	14.3172
23	2	4	14.5271
24	2	4	14.5135
25	2	4	13.9652
1	2	5	14.2996
2	2	5	14.3229
3	2	5	14.2053
4	2	5	14.6261
5	2	5	14.6369
6	2	5	14.4105
7	2	5	14.4988
8	2	5	14.3337
9	2	5	13.9732
10	2	5	14.3089
11	2	5	14.2385
12	2	5	14.1242
13	2	5	14.2707
14	2	5	14.4544
15	2	5	14.264
16	2	5	14.4307
17	2	5	14.4309
18	2	5	14.769
19	2	5	13.8988
20	2	5	14.1755
21	2	5	14.4238
22	2	5	14.3424
23	2	5	14.1614
24	2	5	14.2214
25	2	5	14.33
1	2	6	14.3631
2	2	6	14.3419
3	2	6	14.7345
4	2	6	14.0681
5	2	6	14.5978
6	2	6	14.0917
7	2	6	13.9538
8	2	6	14.1821
9	2	6	13.9577
10	2	6	14.5665
11	2	6	13.9988
12	2	6	14.1413
13	2	6	14.1601
14	2	6	14.4191
15	2	6	14.3044
16	2	6	14.2071
17	2	6	14.3038
18	2	6	14.2122
19	2	6	14.456
20	2	6	13.9021
21	2	6	14.8156
22	2	6	14.3761
23	2	6	14.1151
24	2	6	14.3752
25	2	6	13.8682
1	2	7	14.7866
2	2	7	14.0164
3	2	7	14.5925
4	2	7	14.2525
5	2	7	14.2291
6	2	7	13.9935
7	2	7	14.1359
8	2	7	14.4096
9	2	7	14.2238
10	2	7	14.2693
11	2	7	14.51
12	2	7	14.1978
