Specimen	Correct	JL1	JL2	JL3	MK1	MK2	MK3	SF1	SF2	SF3
1	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00
2	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00
3	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	2.00
4	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00
5	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
6	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00
7	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
8	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00
9	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
11	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	2.00	2.00
12	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00
13	1.00	1.00	1.00	2.00	2.00	1.00	1.00	1.00	1.00	1.00
14	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00
15	1.00	1.00	1.00	2.00	1.00	1.00	1.00	2.00	1.00	1.00
16	1.00	1.00	1.00	2.00	1.00	2.00	1.00	1.00	1.00	1.00
17	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
18	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
19	1.00	1.00	1.00	2.00	1.00	1.00	2.00	1.00	1.00	1.00
20	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00
21	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00
22	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00
23	1.00	1.00	1.00	1.00	1.00	1.00	2.00	1.00	1.00	1.00
24	1.00	1.00	1.00	2.00	1.00	1.00	1.00	2.00	2.00	2.00
25	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00
26	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
27	1.00	1.00	2.00	2.00	1.00	1.00	2.00	1.00	1.00	1.00
28	1.00	1.00	2.00	2.00	1.00	1.00	1.00	2.00	2.00	2.00
29	1.00	2.00	2.00	2.00	1.00	1.00	1.00	2.00	2.00	1.00
30	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
31	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
32	1.00	2.00	2.00	2.00	1.00	1.00	1.00	2.00	2.00	2.00
33	1.00	1.00	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00
34	1.00	2.00	2.00	2.00	1.00	1.00	1.00	2.00	2.00	2.00
35	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
36	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
37	1.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	2.00	2.00
38	1.00	1.00	1.00	1.00	1.00	1.00	1.00	2.00	2.00	2.00
39	1.00	1.00	1.00	1.00	1.00	1.00	1.00	2.00	2.00	2.00
40	1.00	1.00	1.00	1.00	1.00	1.00	1.00	2.00	2.00	2.00
41	2.00	1.00	1.00	1.00	2.00	2.00	2.00	1.00	1.00	1.00
42	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
43	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
44	2.00	1.00	2.00	2.00	1.00	1.00	1.00	1.00	2.00	2.00
45	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	2.00	2.00
46	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	2.00	2.00
47	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00
48	2.00	1.00	2.00	2.00	2.00	1.00	2.00	1.00	2.00	2.00
49	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00
50	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
51	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
52	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
53	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
54	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
55	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
56	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
