Plant	January	February	Jan-Feb
1	73779.77	126319.27	-52539.5
2	74598.51	126790.19	-52191.68
3	75502.89	130863.95	-55361.06
4	76365.04	131285.61	-54920.57
5	76779.08	133717.25	-56938.17
6	77975.14	133847.09	-55871.95
7	86171.56	141853.86	-55682.3
8	86262.8	145490.58	-59227.78
9	86649.62	145903.95	-59254.33
10	86652.88	148580.03	-61927.15
11	89061.7	152021.43	-62959.73
12	90873.5	155171.89	-64298.39
13	91165.32	155434.97	-64269.65
14	91431.61	156282.07	-64850.46
15	96426.93	157705.99	-61279.06
16	97556.81	165033.74	-67476.93
17	101071.32	167239.99	-66168.67
18	109611.1	183193.06	-73581.96
