County,Province_State,2020,2021,2022,2023,2024
Autauga,Alabama,"58,909","59,191","59,736","60,436","61,464"
Baldwin,Alabama,"233,244","239,411","246,577","254,107","261,608"
Barbour,Alabama,"24,975","24,517","24,722","24,644","24,358"
Bibb,Alabama,"22,176","22,344","21,983","21,890","22,258"
Blount,Alabama,"59,110","59,050","59,491","59,777","60,163"
Bullock,Alabama,"10,230","10,126","10,126","9,908","9,901"
Butler,Alabama,"19,027","18,856","18,652","18,357","18,256"
Calhoun,Alabama,"116,242","115,633","115,744","116,403","116,427"
Chambers,Alabama,"34,572","34,396","34,093","34,087","33,813"
Cherokee,Alabama,"24,981","25,060","25,334","25,700","26,138"
Chilton,Alabama,"45,060","45,255","45,856","46,525","47,262"
Choctaw,Alabama,"12,622","12,544","12,420","12,263","12,052"
Clarke,Alabama,"22,989","22,735","22,545","22,305","22,142"
Clay,Alabama,"14,210","14,156","14,198","14,157","14,239"
Cleburne,Alabama,"15,063","15,151","15,353","15,658","15,905"
Coffee,Alabama,"53,565","54,201","54,769","55,707","56,358"
Colbert,Alabama,"57,305","57,615","58,023","58,382","58,785"
Conecuh,Alabama,"11,551","11,317","11,220","11,177","11,109"
Coosa,Alabama,"10,340","10,321","10,283","10,267","10,291"
Covington,Alabama,"37,513","37,512","37,508","37,861","37,748"
Crenshaw,Alabama,"13,171","13,062","13,096","13,168","13,114"
Cullman,Alabama,"88,142","89,578","90,597","91,909","92,604"
Dale,Alabama,"49,260","49,344","49,472","49,852","50,067"
Dallas,Alabama,"38,185","37,496","36,772","36,294","35,545"
DeKalb,Alabama,"71,673","71,880","72,046","72,626","73,122"
Elmore,Alabama,"87,871","88,734","89,566","90,416","91,042"
Escambia,Alabama,"36,687","36,628","36,620","36,582","36,630"
Etowah,Alabama,"103,437","102,887","102,821","103,174","103,207"
Fayette,Alabama,"16,329","16,119","16,041","15,913","15,863"
Franklin,Alabama,"32,076","31,991","31,947","31,941","31,874"
Geneva,Alabama,"26,703","26,632","26,787","27,052","27,259"
Greene,Alabama,"7,701","7,583","7,412","7,299","7,127"
Hale,Alabama,"14,771","14,715","14,613","14,931","15,116"
Henry,Alabama,"17,171","17,412","17,638","17,872","18,141"
Houston,Alabama,"107,300","107,412","108,063","108,556","109,366"
Jackson,Alabama,"52,532","52,688","52,842","53,423","53,780"
Jefferson,Alabama,"674,727","669,677","665,543","664,084","664,744"
Lamar,Alabama,"13,954","13,725","13,628","13,616","13,543"
Lauderdale,Alabama,"94,031","94,846","95,903","96,867","97,502"
Lawrence,Alabama,"33,075","33,052","33,182","33,505","33,567"
Lee,Alabama,"174,856","177,652","181,044","184,271","187,847"
Limestone,Alabama,"104,209","107,285","110,926","114,803","118,942"
Lowndes,Alabama,"10,284","9,936","9,778","9,682","9,485"
Macon,Alabama,"19,472","18,917","18,561","18,347","18,159"
Madison,Alabama,"390,527","396,663","404,155","413,891","423,355"
Marengo,Alabama,"19,271","18,978","18,790","18,705","18,512"
Marion,Alabama,"29,175","28,972","29,171","29,279","29,323"
Marshall,Alabama,"97,706","98,268","99,570","101,041","102,156"
Mobile,Alabama,"414,409","413,164","411,291","411,745","412,339"
Monroe,Alabama,"19,704","19,530","19,403","19,244","19,057"
Montgomery,Alabama,"228,363","226,811","226,554","225,966","225,894"
Morgan,Alabama,"123,329","123,270","124,218","125,455","126,084"
Perry,Alabama,"8,456","8,314","7,893","7,772","7,719"
Pickens,Alabama,"18,962","18,615","18,780","18,741","18,508"
Pike,Alabama,"32,904","32,748","32,998","33,163","33,124"
Randolph,Alabama,"22,093","22,157","22,442","22,789","23,067"
Russell,Alabama,"59,252","58,651","58,522","58,792","58,837"
St Clair,Alabama,"91,687","92,850","93,879","95,487","96,927"
Shelby,Alabama,"223,915","227,436","230,140","233,593","235,969"
Sumter,Alabama,"12,192","11,960","11,894","11,737","11,607"
Talladega,Alabama,"81,416","80,556","80,674","81,083","81,375"
Tallapoosa,Alabama,"41,288","41,084","40,910","40,709","40,699"
Tuscaloosa,Alabama,"232,651","236,699","237,995","239,204","241,212"
Walker,Alabama,"65,141","64,552","64,408","64,845","65,260"
Washington,Alabama,"15,331","15,226","15,098","15,040","15,018"
Wilcox,Alabama,"10,533","10,411","10,124","9,925","9,865"
Winston,Alabama,"23,488","23,639","23,741","23,673","23,869"
Aleutians East Borough,Alaska,"3,426","3,416","3,453","3,529","3,632"
Aleutians West Census Area,Alaska,"5,223","5,156","5,115","5,257","5,424"
Anchorage Municipality,Alaska,"290,905","288,921","287,520","287,932","289,600"
Bethel Census Area,Alaska,"18,670","18,589","18,272","18,199","18,237"
Bristol Bay Borough,Alaska,830,842,877,859,884
Chugach Census Area,Alaska,"7,082","6,967","6,910","6,749","6,604"
Copper River Census Area,Alaska,"2,614","2,620","2,607","2,656","2,631"
Denali Borough,Alaska,"1,614","1,595","1,583","1,595","1,621"
Dillingham Census Area,Alaska,"4,840","4,794","4,716","4,626","4,642"
Fairbanks North Star Borough,Alaska,"95,349","95,553","95,749","95,700","94,951"
Haines Borough,Alaska,"2,085","2,075","2,079","2,088","2,104"
