"","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE"
"1",2021-08-09,3960,"BRONX",NA,40,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","BLACK"
"2",2018-04-07,71280,"BROOKLYN",NA,79,0,NA,NA,TRUE,"25-44","M","WHITE HISPANIC","25-44","M","BLACK"
"3",2022-12-02,82620,"BRONX","OUTSIDE",47,0,"STREET","GROCERY/BODEGA",FALSE,NA,NA,NA,"25-44","M","BLACK"
"4",2006-11-19,6600,"BROOKLYN",NA,66,0,NA,"PVT HOUSE",TRUE,NA,NA,NA,"18-24","M","BLACK"
"5",2010-05-09,7080,"BRONX",NA,46,0,NA,"MULTI DWELL - APT BUILD",TRUE,"25-44","M","BLACK","<18","F","BLACK"
"6",2012-07-22,77700,"BRONX",NA,42,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","18-24","M","BLACK"
"7",2011-07-12,80760,"BROOKLYN",NA,71,0,NA,NA,TRUE,NA,NA,NA,"25-44","M","BLACK"
"8",2012-07-14,85500,"BROOKLYN",NA,69,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC"
"9",2015-04-21,56160,"BROOKLYN",NA,75,0,NA,"MULTI DWELL - APT BUILD",FALSE,"25-44","M","BLACK","25-44","M","BLACK"
"10",2016-05-07,55380,"BROOKLYN",NA,69,0,NA,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK"
"11",2006-10-30,1200,"BRONX",NA,40,0,NA,NA,FALSE,"25-44","M","BLACK HISPANIC","<18","M","BLACK HISPANIC"
"12",2010-01-10,7680,"BRONX",NA,42,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,"M","BLACK","18-24","M","BLACK"
"13",2009-05-06,80400,"BROOKLYN",NA,71,0,NA,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK"
"14",2011-06-24,16560,"BRONX",NA,47,0,NA,NA,TRUE,"18-24","M","BLACK","25-44","M","BLACK"
"15",2018-09-17,60480,"BROOKLYN",NA,76,2,NA,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","BLACK"
"16",2008-02-05,73800,"MANHATTAN",NA,34,0,NA,"MULTI DWELL - APT BUILD",TRUE,"18-24","M","BLACK","18-24","M","WHITE HISPANIC"
"17",2016-07-05,72900,"BRONX",NA,41,0,NA,NA,FALSE,"18-24","M","WHITE HISPANIC","25-44","M","BLACK"
"18",2011-05-18,72060,"BROOKLYN",NA,70,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","BLACK"
"19",2015-09-12,14700,"BROOKLYN",NA,76,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK"
"20",2022-02-08,72120,"BROOKLYN","OUTSIDE",69,0,"STREET","(null)",FALSE,"25-44","M","BLACK","25-44","M","BLACK"
"21",2014-05-05,70080,"QUEENS",NA,113,0,NA,NA,TRUE,"25-44","M","BLACK","18-24","M","BLACK"
